352,1,2,0,2,3,1,2,2,1,6,4,4,2,3,0,2,6,3,3,1,3,1,2,5,4,2,6,9,5,7,8,8,8,6,6,7,3,4,4,6,10,3,7,9,7,9,11,22,20,20,27,29,21,23,34,31,54,41,32,38,60,36,47,43,44,53,59,69,53,60,100,99,111,132,141,162,158,146,139,179,187,148,154,150,170,185,188,186,183,228,235,239,243,273,273,335,373,383,443,490,472,539,609,675,791,843,1040,1074,1240,1417,1623,1795,2055,2593,3189,3904,4944,6358,7942,10783,14353,19313,27036,38150,51204,73390,408839,1
1794,518,178,42,13,5,5,8,3,3,5,3,4,3,7,4,3,3,5,2,1,3,2,3,7,2,4,2,4,2,5,6,5,2,8,5,4,4,7,5,4,7,5,1,7,7,4,4,6,2,3,7,3,6,6,7,8,6,8,7,9,6,10,10,11,10,11,6,9,10,15,4,14,5,10,11,16,13,16,12,17,13,21,21,18,21,27,22,25,24,30,38,39,41,53,50,54,67,85,75,103,135,146,212,246,200,215,307,363,460,575,671,766,1011,1273,1787,2415,3218,4465,6472,9534,14003,21312,32115,47457,68213,91808,473204,1
1,0,0,0,0,0,2,2,5,4,7,8,8,4,7,8,6,17,17,16,16,30,37,29,40,51,71,103,103,114,142,0,178,205,255,245,270,279,281,273,235,152,111,66,29,8,7,0,0,0,1,0,0,0,4,2,3,3,3,5,7,4,6,0,8,10,9,9,5,18,12,27,35,25,32,37,45,51,47,61,61,76,99,115,140,170,180,207,268,318,355,375,478,599,634,0,710,871,1036,1160,1304,1518,1863,2164,2501,2836,3348,3907,4475,5173,5979,6787,7965,9056,10372,11704,13563,15230,17277,19418,21297,23397,25590,27724,29365,30443,31329,389690,0
2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,2,2,0,1,0,0,2,4,2,3,4,4,3,4,1,3,0,3,4,2,2,2,0,8,4,13,8,7,3,9,4,15,8,20,22,51,34,59,57,140,109,241,147,312,429,249,557,252,460,209,438,232,455,244,534,238,516,235,451,257,487,235,494,242,399,193,338,200,447,271,661,361,885,535,1299,740,1782,1061,2470,1470,3461,2020,4860,2919,6968,4181,10007,5884,14224,8380,20228,11999,28771,16947,40824,24271,58449,34858,82586,49133,114509,66609,152619,87036,192799,104515,220706,1754312,0
1,0,0,0,0,0,2,0,0,1,0,0,0,1,5,2,0,1,6,12,0,26,35,60,0,71,100,148,0,167,224,249,262,0,297,374,333,0,313,269,226,0,163,81,29,0,5,4,5,0,6,6,6,0,3,7,3,0,11,5,8,0,10,12,17,29,0,27,30,44,0,34,44,71,0,70,100,103,0,107,133,155,0,201,227,271,0,334,415,435,0,537,650,793,0,906,1150,1359,1613,0,1922,2352,2806,0,3333,3992,4669,0,5774,6976,8475,0,9808,11644,13869,0,16283,19266,22412,0,25924,29272,32095,0,35223,36930,38623,391986,1
501,5,0,5,1,2,16,120,329,486,236,67,34,39,19,15,15,27,29,18,27,26,21,28,25,18,13,23,20,11,11,25,18,18,21,20,21,10,21,25,17,21,22,28,17,26,16,19,26,19,27,27,24,42,33,22,32,38,37,38,46,60,47,53,55,57,66,77,80,74,89,117,123,132,149,155,134,195,225,216,225,248,297,272,359,389,364,456,498,526,555,703,738,885,930,1073,1189,1333,1493,1659,1893,2206,2333,2736,3040,3354,3742,4094,4511,4914,5520,5929,6356,7165,7532,8198,8587,9136,9594,10024,10616,11003,11195,11563,11936,12110,12270,230996,1
5,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,2,2,0,0,1,2,1,1,0,0,1,0,3,2,0,2,1,5,2,2,1,1,3,1,2,2,2,4,5,1,4,7,3,5,4,0,10,4,6,3,4,8,11,7,9,10,7,18,13,13,20,20,21,29,19,35,35,37,49,47,60,62,92,104,113,138,188,245,309,342,436,574,743,883,1184,1458,2011,2517,3317,4390,5798,7905,10808,14917,22472,33155,46878,76725,377956,1
523,53,46,39,46,42,36,56,34,61,68,72,68,65,68,63,72,78,52,25,26,12,42,41,17,18,14,13,10,8,9,7,11,17,26,14,13,17,24,12,18,12,14,21,29,18,21,29,22,31,42,32,45,43,61,66,54,60,52,58,44,51,32,32,27,50,44,49,49,38,43,54,52,39,65,55,65,62,61,55,63,66,77,71,77,83,87,89,115,119,160,168,169,195,187,221,270,288,352,440,480,597,681,716,914,1102,1287,1657,1845,2328,2775,3381,3968,4765,5905,7203,8853,10777,13246,15766,19204,22939,28331,34486,41135,49457,56448,439276,1
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,3,3,5,13,23,18,42,37,55,71,105,121,106,104,108,126,194,188,230,282,327,274,287,377,476,471,424,457,560,509,410,396,356,369,364,318,290,149,61,44,45,4,5,3,3,3,3,7,4,5,5,3,8,4,11,12,15,11,12,13,29,21,25,37,47,45,69,97,103,119,178,236,293,399,560,795,1037,1471,1957,2787,4148,5824,8432,12334,18384,27518,41665,62630,95285,145084,221926,325255,429879,541904,2823519,0
4112,551,309,149,117,100,96,97,113,119,108,127,138,141,143,125,136,128,147,140,149,151,175,165,196,167,193,226,221,230,200,221,242,238,273,273,274,298,259,284,305,301,314,349,370,321,360,373,388,372,447,440,479,464,496,497,549,556,546,542,562,657,592,664,690,687,687,753,719,791,803,850,845,865,946,976,982,1033,1072,1047,1131,1136,1214,1273,1322,1322,1427,1431,1456,1613,1605,1679,1755,1843,1915,1977,2121,2205,2315,2392,2583,2697,2759,2957,3172,3350,3587,3927,4226,4595,4794,5182,5730,6370,6944,7898,8657,9619,10684,12135,13705,15626,18229,21694,26984,34049,43876,431050,1
